INSTANCIA 500_500_3

EXECUCAO 1
Custo: 6313.000000
Vertices: 212
Tempo: 108.766086
Label	|	Custo
Label	|	Custo
  65	|	22.000
  54	|	22.000
  52	|	22.000
 439	|	24.000
 298	|	24.000
 470	|	23.000
 447	|	23.000
 473	|	24.000
 383	|	24.000
 181	|	23.000
 180	|	23.000
 129	|	23.000
 406	|	20.000
 359	|	20.000
 185	|	21.000
 106	|	21.000
  83	|	23.000
  17	|	23.000
 330	|	25.000
 319	|	25.000
 277	|	35.000
 256	|	24.000
 212	|	24.000
 192	|	21.000
  34	|	21.000
 491	|	22.000
 490	|	21.000
 452	|	21.000
  57	|	25.000
   6	|	25.000
   4	|	25.000
 496	|	26.000
  14	|	20.000
 361	|	21.000
 358	|	21.000
  15	|	22.000
 390	|	23.000
 412	|	20.000
 347	|	20.000
  96	|	23.000
  60	|	23.000
 271	|	23.000
 204	|	23.000
 224	|	20.000
 145	|	20.000
 115	|	20.000
  82	|	20.000
 346	|	21.000
 425	|	22.000
 333	|	22.000
 263	|	22.000
 396	|	27.000
 389	|	27.000
 371	|	27.000
 113	|	25.000
  70	|	25.000
 343	|	27.000
 239	|	27.000
 222	|	27.000
 261	|	23.000
 198	|	23.000
 119	|	23.000
 292	|	26.000
 178	|	26.000
 384	|	23.000
 279	|	23.000
 438	|	25.000
 416	|	25.000
 376	|	25.000
 386	|	28.000
 278	|	28.000
 369	|	26.000
 313	|	26.000
 306	|	21.000
 450	|	22.000
 193	|	22.000
  21	|	26.000
 493	|	27.000
 281	|	25.000
 166	|	25.000
 169	|	26.000
 107	|	22.000
  81	|	22.000
  74	|	22.000
 176	|	22.000
 399	|	23.000
 152	|	24.000
 141	|	24.000
  89	|	28.000
  31	|	28.000
 217	|	29.000
 211	|	29.000
 196	|	29.000
 488	|	29.000
 472	|	29.000
 344	|	29.000
 101	|	23.000
 197	|	24.000
  66	|	27.000
   7	|	27.000
 410	|	28.000
 366	|	28.000
 275	|	28.000
 489	|	27.000
 128	|	27.000
 418	|	28.000
 157	|	30.000
  69	|	30.000
 203	|	30.000
 123	|	30.000
 466	|	20.000
 461	|	20.000
 327	|	20.000
 103	|	24.000
 299	|	25.000
 156	|	26.000
 253	|	28.000
 173	|	28.000
 258	|	29.000
 228	|	29.000
  67	|	29.000
 146	|	31.000
  71	|	31.000
  29	|	31.000
 351	|	31.000
 136	|	31.000
 109	|	32.000
 325	|	33.000
 100	|	26.000
  86	|	26.000
 397	|	30.000
 242	|	33.000
 208	|	33.000
 165	|	33.000
  26	|	33.000
 393	|	30.000
 297	|	30.000
 229	|	30.000
 356	|	31.000
 487	|	32.000
 465	|	32.000
 380	|	32.000
 354	|	32.000
 265	|	32.000
 201	|	32.000
  20	|	34.000
 409	|	35.000
 402	|	35.000
 125	|	34.000
 309	|	35.000
 290	|	35.000
 287	|	35.000
 266	|	34.000
 259	|	34.000
 233	|	35.000
 462	|	32.000
 248	|	33.000
 355	|	34.000
 139	|	35.000
  37	|	35.000
 130	|	36.000
  28	|	36.000
 273	|	37.000
 127	|	34.000
  27	|	35.000
  11	|	35.000
 419	|	36.000
 379	|	36.000
 312	|	36.000
 262	|	36.000
 148	|	37.000
 477	|	38.000
 476	|	38.000
 161	|	37.000
 286	|	38.000
  68	|	38.000
  50	|	38.000
 339	|	39.000
 227	|	39.000
 116	|	39.000
 337	|	40.000
 317	|	41.000
 497	|	42.000
 479	|	42.000
 451	|	42.000
 448	|	42.000
 342	|	42.000
 199	|	40.000
 334	|	41.000
 172	|	42.000
 474	|	43.000
 320	|	43.000
  55	|	43.000
 232	|	44.000
 219	|	44.000
 168	|	44.000
 237	|	36.000
  41	|	44.000
  64	|	45.000
 341	|	46.000
 374	|	45.000
 293	|	47.000
 231	|	47.000
 177	|	47.000
 323	|	48.000
 194	|	48.000
 365	|	25.000
 167	|	48.000
 370	|	49.000
  98	|	49.000
   1	|	28.000

EXECUCAO 9
Custo: 6300.000000
Vertices: 211
Tempo: 108.435231
Label	|	Custo
 384	|	23.000
 279	|	23.000
 271	|	23.000
 408	|	23.000
 399	|	23.000
 185	|	21.000
 106	|	21.000
  60	|	23.000
  17	|	23.000
 212	|	24.000
 152	|	24.000
 144	|	24.000
 470	|	23.000
 447	|	23.000
 491	|	22.000
 450	|	22.000
 256	|	24.000
 197	|	24.000
 141	|	24.000
 424	|	23.000
 390	|	23.000
 416	|	25.000
 376	|	25.000
 439	|	24.000
 295	|	24.000
 480	|	25.000
  65	|	22.000
  54	|	22.000
 103	|	24.000
 438	|	25.000
 176	|	22.000
 107	|	22.000
  81	|	22.000
 330	|	25.000
 319	|	25.000
 192	|	21.000
  34	|	21.000
 113	|	25.000
  70	|	25.000
 406	|	20.000
 359	|	20.000
 347	|	20.000
 490	|	21.000
 452	|	21.000
 282	|	25.000
 281	|	25.000
 166	|	25.000
 178	|	26.000
 169	|	26.000
  74	|	22.000
  52	|	22.000
 277	|	35.000
 298	|	24.000
 352	|	25.000
 180	|	23.000
 129	|	23.000
 224	|	20.000
 145	|	20.000
 478	|	28.000
 410	|	28.000
 386	|	28.000
 365	|	25.000
 318	|	25.000
 156	|	26.000
 100	|	26.000
 425	|	22.000
 333	|	22.000
 263	|	22.000
 253	|	28.000
 173	|	28.000
 101	|	23.000
  96	|	23.000
 473	|	24.000
 193	|	22.000
  24	|	22.000
 204	|	23.000
 198	|	23.000
 181	|	23.000
 343	|	27.000
 239	|	27.000
   4	|	25.000
 228	|	29.000
 217	|	29.000
 275	|	28.000
  89	|	28.000
  21	|	26.000
 489	|	27.000
 471	|	29.000
 258	|	29.000
 252	|	29.000
 372	|	30.000
 338	|	30.000
 327	|	20.000
 115	|	20.000
  82	|	20.000
  14	|	20.000
 496	|	26.000
 292	|	26.000
 229	|	30.000
 203	|	30.000
  66	|	27.000
   7	|	27.000
 418	|	28.000
  47	|	30.000
 356	|	31.000
 351	|	31.000
 119	|	23.000
 299	|	25.000
  67	|	29.000
 460	|	30.000
 397	|	30.000
 136	|	31.000
  29	|	31.000
 487	|	32.000
 222	|	27.000
 128	|	27.000
 366	|	28.000
 123	|	30.000
  69	|	30.000
 306	|	21.000
 270	|	21.000
  57	|	25.000
 133	|	30.000
 465	|	32.000
 462	|	32.000
 297	|	30.000
 380	|	32.000
 354	|	32.000
 265	|	32.000
 248	|	33.000
 242	|	33.000
 165	|	33.000
  26	|	33.000
 201	|	32.000
 135	|	32.000
 304	|	33.000
 368	|	34.000
 211	|	29.000
 196	|	29.000
 393	|	30.000
 325	|	33.000
 483	|	34.000
 303	|	34.000
 361	|	21.000
 261	|	23.000
  20	|	34.000
 409	|	35.000
 309	|	35.000
 290	|	35.000
 205	|	35.000
  48	|	35.000
  27	|	35.000
 488	|	29.000
 344	|	29.000
  30	|	34.000
 468	|	36.000
 419	|	36.000
 379	|	36.000
  38	|	32.000
 266	|	34.000
 371	|	27.000
 355	|	34.000
 127	|	34.000
  11	|	35.000
 312	|	36.000
 262	|	36.000
 237	|	36.000
 412	|	20.000
 396	|	27.000
 125	|	34.000
 148	|	37.000
 477	|	38.000
  68	|	38.000
  50	|	38.000
  72	|	40.000
  35	|	40.000
 317	|	41.000
 102	|	41.000
 116	|	39.000
 337	|	40.000
 334	|	41.000
  92	|	41.000
 497	|	42.000
 479	|	42.000
 451	|	42.000
 448	|	42.000
 342	|	42.000
 161	|	37.000
 339	|	39.000
 172	|	42.000
 159	|	42.000
  55	|	43.000
 219	|	44.000
 200	|	44.000
 168	|	44.000
 121	|	44.000
 461	|	20.000
 474	|	43.000
 320	|	43.000
  64	|	45.000
 187	|	46.000
 391	|	47.000
 293	|	47.000
 231	|	47.000
 177	|	47.000
 323	|	48.000
 341	|	46.000
 194	|	48.000
 167	|	48.000
  98	|	49.000
   1	|	28.000

EXECUCAO 10
Custo: 6265.000000
Vertices: 209
Tempo: 107.181231
Label	|	Custo
 115	|	20.000
  82	|	20.000
 279	|	23.000
 169	|	26.000
 239	|	27.000
 366	|	28.000
   7	|	27.000
 296	|	22.000
 106	|	21.000
  57	|	25.000
 181	|	23.000
 180	|	23.000
  93	|	26.000
 488	|	29.000
 306	|	21.000
 492	|	21.000
   6	|	25.000
 473	|	24.000
 443	|	24.000
  14	|	20.000
  65	|	22.000
 376	|	25.000
 299	|	25.000
 425	|	22.000
 447	|	23.000
 196	|	29.000
 112	|	29.000
 313	|	26.000
 442	|	28.000
 352	|	25.000
 466	|	20.000
 491	|	22.000
 328	|	22.000
 228	|	29.000
 217	|	29.000
  89	|	28.000
 450	|	22.000
  66	|	27.000
 478	|	28.000
 256	|	24.000
 471	|	29.000
 395	|	28.000
 394	|	28.000
 297	|	30.000
 383	|	24.000
 212	|	24.000
 197	|	24.000
 489	|	27.000
 107	|	22.000
 338	|	30.000
 399	|	23.000
 396	|	27.000
  83	|	23.000
  47	|	30.000
   9	|	30.000
  81	|	22.000
 129	|	23.000
 333	|	22.000
 416	|	25.000
 371	|	27.000
 343	|	27.000
 410	|	28.000
 344	|	29.000
  31	|	28.000
 261	|	23.000
 204	|	23.000
 101	|	23.000
 406	|	20.000
 295	|	24.000
 176	|	22.000
 372	|	30.000
 346	|	21.000
 192	|	21.000
 185	|	21.000
 271	|	23.000
 229	|	30.000
   4	|	25.000
 496	|	26.000
 275	|	28.000
 470	|	23.000
 250	|	32.000
 390	|	23.000
 113	|	25.000
  70	|	25.000
 387	|	31.000
 178	|	26.000
 258	|	29.000
 252	|	29.000
 263	|	22.000
 201	|	32.000
  74	|	22.000
  21	|	26.000
 188	|	40.000
 354	|	32.000
 100	|	26.000
 423	|	27.000
 103	|	24.000
 386	|	28.000
  96	|	23.000
  17	|	23.000
  54	|	22.000
 266	|	34.000
 259	|	34.000
 292	|	26.000
 355	|	34.000
 127	|	34.000
 360	|	31.000
 461	|	20.000
 454	|	26.000
 222	|	27.000
 462	|	32.000
 393	|	30.000
 465	|	32.000
  69	|	30.000
 356	|	31.000
 238	|	31.000
 133	|	30.000
 141	|	24.000
 318	|	25.000
  67	|	29.000
 109	|	32.000
 325	|	33.000
 412	|	20.000
  52	|	22.000
 233	|	35.000
 205	|	35.000
 285	|	31.000
  29	|	31.000
 409	|	35.000
 402	|	35.000
  23	|	34.000
 224	|	20.000
 145	|	20.000
 483	|	34.000
 490	|	21.000
 487	|	32.000
 211	|	29.000
 166	|	25.000
 156	|	26.000
 198	|	23.000
 281	|	25.000
 379	|	36.000
  20	|	34.000
 136	|	31.000
 368	|	34.000
 359	|	20.000
 347	|	20.000
 498	|	29.000
 203	|	30.000
 265	|	32.000
 262	|	36.000
 237	|	36.000
 419	|	36.000
 312	|	36.000
 193	|	22.000
 253	|	28.000
 351	|	31.000
  48	|	35.000
 208	|	33.000
 303	|	34.000
 290	|	35.000
 327	|	20.000
 361	|	21.000
 477	|	38.000
 225	|	38.000
 287	|	35.000
  35	|	40.000
  68	|	38.000
  50	|	38.000
 337	|	40.000
 199	|	40.000
   2	|	40.000
 334	|	41.000
 128	|	27.000
 380	|	32.000
 116	|	39.000
  72	|	40.000
 130	|	36.000
 148	|	37.000
 362	|	39.000
 102	|	41.000
 495	|	42.000
 248	|	33.000
 165	|	33.000
  26	|	33.000
 342	|	42.000
  94	|	42.000
 479	|	42.000
 432	|	42.000
 172	|	42.000
 161	|	37.000
 339	|	39.000
 494	|	44.000
 232	|	44.000
 317	|	41.000
 159	|	42.000
 320	|	43.000
  64	|	45.000
 446	|	46.000
  55	|	43.000
 168	|	44.000
 374	|	45.000
 231	|	47.000
 177	|	47.000
 323	|	48.000
 321	|	48.000
 194	|	48.000
 167	|	48.000
  98	|	49.000

=====

